STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,FREQ,Frequency of observation,MEASURE,Measure,UNIT_MEASURE,Unit of measure,SOURCE,Source of water,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,DECIMALS,Decimals
DATAFLOW,OECD.ENV.EPI:DSD_WATER_USE@DF_WATER_USE(1.0),Water use,I,AUS,Australia,A,Annual,LOSS_TOT,Total losses during transport,M3,Cubic metres,TOTAL,Total water,2001,,2117.01001,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_USE@DF_WATER_USE(1.0),Water use,I,AUS,Australia,A,Annual,LOSS_TOT,Total losses during transport,M3,Cubic metres,TOTAL,Total water,2005,,2022.069946,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_USE@DF_WATER_USE(1.0),Water use,I,AUS,Australia,A,Annual,LOSS_TOT,Total losses during transport,M3,Cubic metres,TOTAL,Total water,2009,,2206,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_USE@DF_WATER_USE(1.0),Water use,I,AUS,Australia,A,Annual,LOSS_TOT,Total losses during transport,M3,Cubic metres,TOTAL,Total water,2010,,1805,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_USE@DF_WATER_USE(1.0),Water use,I,AUS,Australia,A,Annual,LOSS_TOT,Total losses during transport,M3,Cubic metres,TOTAL,Total water,2011,,1430,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_USE@DF_WATER_USE(1.0),Water use,I,AUS,Australia,A,Annual,PUB_MINE,Mining and quarrying,M3,Cubic metres,PUBLIC,Public water supply,2009,,72,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_USE@DF_WATER_USE(1.0),Water use,I,AUS,Australia,A,Annual,PUB_MINE,Mining and quarrying,M3,Cubic metres,PUBLIC,Public water supply,2010,,36,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_USE@DF_WATER_USE(1.0),Water use,I,AUS,Australia,A,Annual,PUB_MINE,Mining and quarrying,M3,Cubic metres,PUBLIC,Public water supply,2011,,34,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_USE@DF_WATER_USE(1.0),Water use,I,AUS,Australia,A,Annual,PUB_MINE,Mining and quarrying,M3,Cubic metres,PUBLIC,Public water supply,2012,,44,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_USE@DF_WATER_USE(1.0),Water use,I,AUS,Australia,A,Annual,PUB_MINE,Mining and quarrying,M3,Cubic metres,PUBLIC,Public water supply,2013,,37,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_USE@DF_WATER_USE(1.0),Water use,I,AUS,Australia,A,Annual,PUB_MINE,Mining and quarrying,M3,Cubic metres,PUBLIC,Public water supply,2014,,39,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_USE@DF_WATER_USE(1.0),Water use,I,AUS,Australia,A,Annual,PUB_MINE,Mining and quarrying,M3,Cubic metres,PUBLIC,Public water supply,2015,,35.011,,B,Time series break,6,Millions,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_USE@DF_WATER_USE(1.0),Water use,I,AUS,Australia,A,Annual,PUB_MINE,Mining and quarrying,M3,Cubic metres,PUBLIC,Public water supply,2016,,37.428,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_USE@DF_WATER_USE(1.0),Water use,I,AUS,Australia,A,Annual,PUB_MINE,Mining and quarrying,M3,Cubic metres,PUBLIC,Public water supply,2017,,40.691869743764,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_USE@DF_WATER_USE(1.0),Water use,I,AUS,Australia,A,Annual,PUB_MINE,Mining and quarrying,M3,Cubic metres,PUBLIC,Public water supply,2018,,43.757471119874,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_USE@DF_WATER_USE(1.0),Water use,I,AUS,Australia,A,Annual,PUB_MINE,Mining and quarrying,M3,Cubic metres,PUBLIC,Public water supply,2019,,49.585,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_USE@DF_WATER_USE(1.0),Water use,I,AUS,Australia,A,Annual,PUB_MINE,Mining and quarrying,M3,Cubic metres,PUBLIC,Public water supply,2020,,57.561,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_USE@DF_WATER_USE(1.0),Water use,I,AUS,Australia,A,Annual,PUB_MINE,Mining and quarrying,M3,Cubic metres,PUBLIC,Public water supply,2021,,46.709,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_USE@DF_WATER_USE(1.0),Water use,I,BEL,Belgium,A,Annual,NF_MANUCOOL,Manufacturing cooling,M3,Cubic metres,NF,Non-freshwater,1980,,0,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_USE@DF_WATER_USE(1.0),Water use,I,BEL,Belgium,A,Annual,NF_MANUCOOL,Manufacturing cooling,M3,Cubic metres,NF,Non-freshwater,1985,,0,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_USE@DF_WATER_USE(1.0),Water use,I,BEL,Belgium,A,Annual,NF_MANUCOOL,Manufacturing cooling,M3,Cubic metres,NF,Non-freshwater,1990,,0,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_USE@DF_WATER_USE(1.0),Water use,I,BEL,Belgium,A,Annual,NF_MANUCOOL,Manufacturing cooling,M3,Cubic metres,NF,Non-freshwater,1991,,0,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_USE@DF_WATER_USE(1.0),Water use,I,BEL,Belgium,A,Annual,NF_MANUCOOL,Manufacturing cooling,M3,Cubic metres,NF,Non-freshwater,1992,,0,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_USE@DF_WATER_USE(1.0),Water use,I,BEL,Belgium,A,Annual,NF_MANUCOOL,Manufacturing cooling,M3,Cubic metres,NF,Non-freshwater,1993,,0,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_USE@DF_WATER_USE(1.0),Water use,I,BEL,Belgium,A,Annual,NF_MANUCOOL,Manufacturing cooling,M3,Cubic metres,NF,Non-freshwater,1994,,0,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_USE@DF_WATER_USE(1.0),Water use,I,BEL,Belgium,A,Annual,NF_MANUCOOL,Manufacturing cooling,M3,Cubic metres,NF,Non-freshwater,1995,,0,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_USE@DF_WATER_USE(1.0),Water use,I,BEL,Belgium,A,Annual,NF_MANUCOOL,Manufacturing cooling,M3,Cubic metres,NF,Non-freshwater,1996,,0,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_USE@DF_WATER_USE(1.0),Water use,I,BEL,Belgium,A,Annual,NF_MANUCOOL,Manufacturing cooling,M3,Cubic metres,NF,Non-freshwater,1997,,0,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_USE@DF_WATER_USE(1.0),Water use,I,BEL,Belgium,A,Annual,NF_MANUCOOL,Manufacturing cooling,M3,Cubic metres,NF,Non-freshwater,1998,,0,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_USE@DF_WATER_USE(1.0),Water use,I,BEL,Belgium,A,Annual,NF_MANUCOOL,Manufacturing cooling,M3,Cubic metres,NF,Non-freshwater,1999,,0,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_USE@DF_WATER_USE(1.0),Water use,I,BEL,Belgium,A,Annual,NF_MANUCOOL,Manufacturing cooling,M3,Cubic metres,NF,Non-freshwater,2000,,0,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_USE@DF_WATER_USE(1.0),Water use,I,BEL,Belgium,A,Annual,NF_MANUCOOL,Manufacturing cooling,M3,Cubic metres,NF,Non-freshwater,2001,,0,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_USE@DF_WATER_USE(1.0),Water use,I,BEL,Belgium,A,Annual,NF_MANUCOOL,Manufacturing cooling,M3,Cubic metres,NF,Non-freshwater,2002,,0,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_USE@DF_WATER_USE(1.0),Water use,I,BEL,Belgium,A,Annual,NF_MANUCOOL,Manufacturing cooling,M3,Cubic metres,NF,Non-freshwater,2003,,0,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_USE@DF_WATER_USE(1.0),Water use,I,BEL,Belgium,A,Annual,NF_MANUCOOL,Manufacturing cooling,M3,Cubic metres,NF,Non-freshwater,2004,,0,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_USE@DF_WATER_USE(1.0),Water use,I,BEL,Belgium,A,Annual,NF_MANUCOOL,Manufacturing cooling,M3,Cubic metres,NF,Non-freshwater,2005,,0,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_USE@DF_WATER_USE(1.0),Water use,I,BEL,Belgium,A,Annual,NF_MANUCOOL,Manufacturing cooling,M3,Cubic metres,NF,Non-freshwater,2006,,0,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_USE@DF_WATER_USE(1.0),Water use,I,BEL,Belgium,A,Annual,NF_MANUCOOL,Manufacturing cooling,M3,Cubic metres,NF,Non-freshwater,2007,,0,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_USE@DF_WATER_USE(1.0),Water use,I,BEL,Belgium,A,Annual,NF_MANUCOOL,Manufacturing cooling,M3,Cubic metres,NF,Non-freshwater,2008,,0,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_USE@DF_WATER_USE(1.0),Water use,I,BEL,Belgium,A,Annual,NF_MANUCOOL,Manufacturing cooling,M3,Cubic metres,NF,Non-freshwater,2009,,0,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_USE@DF_WATER_USE(1.0),Water use,I,BEL,Belgium,A,Annual,NF_MANUCOOL,Manufacturing cooling,M3,Cubic metres,NF,Non-freshwater,2010,,0,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_USE@DF_WATER_USE(1.0),Water use,I,BEL,Belgium,A,Annual,NF_MANUCOOL,Manufacturing cooling,M3,Cubic metres,NF,Non-freshwater,2011,,0,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_USE@DF_WATER_USE(1.0),Water use,I,BEL,Belgium,A,Annual,NF_MANUCOOL,Manufacturing cooling,M3,Cubic metres,NF,Non-freshwater,2012,,0,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_USE@DF_WATER_USE(1.0),Water use,I,BEL,Belgium,A,Annual,NF_MANUCOOL,Manufacturing cooling,M3,Cubic metres,NF,Non-freshwater,2013,,0,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_USE@DF_WATER_USE(1.0),Water use,I,BEL,Belgium,A,Annual,NF_MANUCOOL,Manufacturing cooling,M3,Cubic metres,NF,Non-freshwater,2014,,0,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_USE@DF_WATER_USE(1.0),Water use,I,BEL,Belgium,A,Annual,NF_MANUCOOL,Manufacturing cooling,M3,Cubic metres,NF,Non-freshwater,2015,,0,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_USE@DF_WATER_USE(1.0),Water use,I,BEL,Belgium,A,Annual,NF_MANUCOOL,Manufacturing cooling,M3,Cubic metres,NF,Non-freshwater,2016,,0,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_USE@DF_WATER_USE(1.0),Water use,I,BEL,Belgium,A,Annual,NF_MANUCOOL,Manufacturing cooling,M3,Cubic metres,NF,Non-freshwater,2017,,0,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_USE@DF_WATER_USE(1.0),Water use,I,BEL,Belgium,A,Annual,NF_MANUCOOL,Manufacturing cooling,M3,Cubic metres,NF,Non-freshwater,2018,,0,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_USE@DF_WATER_USE(1.0),Water use,I,BEL,Belgium,A,Annual,NF_MANUCOOL,Manufacturing cooling,M3,Cubic metres,NF,Non-freshwater,2019,,0,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_USE@DF_WATER_USE(1.0),Water use,I,BEL,Belgium,A,Annual,NF_MANUCOOL,Manufacturing cooling,M3,Cubic metres,NF,Non-freshwater,2020,,0,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_USE@DF_WATER_USE(1.0),Water use,I,BEL,Belgium,A,Annual,SELF_PAPER,Paper products,M3,Cubic metres,SELF,Self- and other water supply,2000,,53.6,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_USE@DF_WATER_USE(1.0),Water use,I,BEL,Belgium,A,Annual,SELF_PAPER,Paper products,M3,Cubic metres,SELF,Self- and other water supply,2001,,50.49,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_USE@DF_WATER_USE(1.0),Water use,I,BEL,Belgium,A,Annual,SELF_PAPER,Paper products,M3,Cubic metres,SELF,Self- and other water supply,2002,,48.75,,A,Normal value,6,Millions,1,One
