"Area Code","Area","Item Code","Item","Element Code","Element","Year Code","Year","Unit","Value","Flag"
211,Switzerland,515,Apples,5312,Area harvested,1961,1961,ha,2700.0,F
211,Switzerland,515,Apples,5312,Area harvested,1962,1962,ha,4800.0,F
211,Switzerland,515,Apples,5312,Area harvested,1963,1963,ha,3600.0,F
211,Switzerland,515,Apples,5312,Area harvested,1964,1964,ha,4000.0,F
211,Switzerland,515,Apples,5312,Area harvested,1965,1965,ha,2478.0,
211,Switzerland,515,Apples,5312,Area harvested,1966,1966,ha,2530.0,F
211,Switzerland,515,Apples,5312,Area harvested,1967,1967,ha,3340.0,
211,Switzerland,515,Apples,5312,Area harvested,1968,1968,ha,3634.0,
211,Switzerland,515,Apples,5312,Area harvested,1969,1969,ha,3861.0,
211,Switzerland,515,Apples,5312,Area harvested,1970,1970,ha,3014.0,
211,Switzerland,515,Apples,5312,Area harvested,1971,1971,ha,4155.0,
211,Switzerland,515,Apples,5312,Area harvested,1972,1972,ha,4271.0,
211,Switzerland,515,Apples,5312,Area harvested,1973,1973,ha,4476.0,
211,Switzerland,515,Apples,5312,Area harvested,1974,1974,ha,4703.0,
211,Switzerland,515,Apples,5312,Area harvested,1975,1975,ha,4934.0,
211,Switzerland,515,Apples,5312,Area harvested,1976,1976,ha,5135.0,
211,Switzerland,515,Apples,5312,Area harvested,1977,1977,ha,5249.0,
211,Switzerland,515,Apples,5312,Area harvested,1978,1978,ha,5366.0,
211,Switzerland,515,Apples,5312,Area harvested,1979,1979,ha,5427.0,
211,Switzerland,515,Apples,5312,Area harvested,1980,1980,ha,5357.0,
211,Switzerland,515,Apples,5312,Area harvested,1981,1981,ha,5218.0,
211,Switzerland,515,Apples,5312,Area harvested,1982,1982,ha,5152.0,
211,Switzerland,515,Apples,5312,Area harvested,1983,1983,ha,4981.0,
211,Switzerland,515,Apples,5312,Area harvested,1984,1984,ha,4918.0,
211,Switzerland,515,Apples,5312,Area harvested,1985,1985,ha,10925.0,F
211,Switzerland,515,Apples,5312,Area harvested,1986,1986,ha,10940.0,F
211,Switzerland,515,Apples,5312,Area harvested,1987,1987,ha,10970.0,F
211,Switzerland,515,Apples,5312,Area harvested,1988,1988,ha,10905.0,F
211,Switzerland,515,Apples,5312,Area harvested,1989,1989,ha,10800.0,F
211,Switzerland,515,Apples,5312,Area harvested,1990,1990,ha,10570.0,F
211,Switzerland,515,Apples,5312,Area harvested,1991,1991,ha,4943.0,
211,Switzerland,515,Apples,5312,Area harvested,1992,1992,ha,5006.0,
211,Switzerland,515,Apples,5312,Area harvested,1993,1993,ha,5058.0,
211,Switzerland,515,Apples,5312,Area harvested,1994,1994,ha,5108.0,
211,Switzerland,515,Apples,5312,Area harvested,1995,1995,ha,5115.0,
211,Switzerland,515,Apples,5312,Area harvested,1996,1996,ha,5159.0,
211,Switzerland,515,Apples,5312,Area harvested,1997,1997,ha,5096.0,
211,Switzerland,515,Apples,5312,Area harvested,1998,1998,ha,5071.0,
211,Switzerland,515,Apples,5312,Area harvested,1999,1999,ha,5015.0,
211,Switzerland,515,Apples,5312,Area harvested,2000,2000,ha,4812.0,
211,Switzerland,515,Apples,5312,Area harvested,2001,2001,ha,4710.0,
211,Switzerland,515,Apples,5312,Area harvested,2002,2002,ha,4565.0,
211,Switzerland,515,Apples,5312,Area harvested,2003,2003,ha,4410.0,
211,Switzerland,515,Apples,5312,Area harvested,2004,2004,ha,4382.0,
211,Switzerland,515,Apples,5312,Area harvested,2005,2005,ha,4315.0,
211,Switzerland,515,Apples,5312,Area harvested,2006,2006,ha,4280.0,
211,Switzerland,515,Apples,5312,Area harvested,2007,2007,ha,4235.0,
211,Switzerland,515,Apples,5312,Area harvested,2008,2008,ha,4195.0,
211,Switzerland,515,Apples,5312,Area harvested,2009,2009,ha,4226.0,
211,Switzerland,515,Apples,5312,Area harvested,2010,2010,ha,4218.0,
211,Switzerland,515,Apples,5312,Area harvested,2011,2011,ha,4187.0,
211,Switzerland,515,Apples,5312,Area harvested,2012,2012,ha,4138.0,
211,Switzerland,515,Apples,5312,Area harvested,2013,2013,ha,3993.0,
211,Switzerland,515,Apples,5312,Area harvested,2014,2014,ha,3894.0,
211,Switzerland,515,Apples,5312,Area harvested,2015,2015,ha,3863.0,
211,Switzerland,515,Apples,5312,Area harvested,2016,2016,ha,3854.0,
211,Switzerland,515,Apples,5312,Area harvested,2017,2017,ha,3806.0,
211,Switzerland,515,Apples,5312,Area harvested,2018,2018,ha,3786.0,
