ten00006_linear
DATAFLOW;LAST UPDATE;freq;unit;wat_proc;wat_src;geo;TIME_PERIOD;OBS_VALUE;OBS_FLAG
ESTAT:TEN00006(1.0);28/07/23 23:00:00;A;MIO_M3;ABST;FSW;AL;2017;984.24;e
ESTAT:TEN00006(1.0);28/07/23 23:00:00;A;MIO_M3;ABST;FSW;AL;2018;858.68;
ESTAT:TEN00006(1.0);28/07/23 23:00:00;A;MIO_M3;ABST;FSW;AL;2019;799.82;
ESTAT:TEN00006(1.0);28/07/23 23:00:00;A;MIO_M3;ABST;FSW;AL;2020;704.20;
ESTAT:TEN00006(1.0);28/07/23 23:00:00;A;MIO_M3;ABST;FSW;AL;2021;685.14;
ESTAT:TEN00006(1.0);28/07/23 23:00:00;A;MIO_M3;ABST;FSW;BE;2010;5417.28;
ESTAT:TEN00006(1.0);28/07/23 23:00:00;A;MIO_M3;ABST;FSW;BE;2011;4757.20;
ESTAT:TEN00006(1.0);28/07/23 23:00:00;A;MIO_M3;ABST;FSW;BE;2012;4740.66;
ESTAT:TEN00006(1.0);28/07/23 23:00:00;A;MIO_M3;ABST;FSW;BE;2013;4266.41;
ESTAT:TEN00006(1.0);28/07/23 23:00:00;A;MIO_M3;ABST;FSW;BE;2014;4001.86;
ESTAT:TEN00006(1.0);28/07/23 23:00:00;A;MIO_M3;ABST;FSW;BE;2015;3438.90;
ESTAT:TEN00006(1.0);28/07/23 23:00:00;A;MIO_M3;ABST;FSW;BE;2016;4092.09;
ESTAT:TEN00006(1.0);28/07/23 23:00:00;A;MIO_M3;ABST;FSW;BE;2017;3841.47;
ESTAT:TEN00006(1.0);28/07/23 23:00:00;A;MIO_M3;ABST;FSW;BE;2018;3548.78;
ESTAT:TEN00006(1.0);28/07/23 23:00:00;A;MIO_M3;ABST;FSW;BE;2019;3920.03;
ESTAT:TEN00006(1.0);28/07/23 23:00:00;A;MIO_M3;ABST;FSW;BG;2010;5403.39;
ESTAT:TEN00006(1.0);28/07/23 23:00:00;A;MIO_M3;ABST;FSW;BG;2011;5840.35;
ESTAT:TEN00006(1.0);28/07/23 23:00:00;A;MIO_M3;ABST;FSW;BG;2012;5149.44;
ESTAT:TEN00006(1.0);28/07/23 23:00:00;A;MIO_M3;ABST;FSW;BG;2013;4910.18;
ESTAT:TEN00006(1.0);28/07/23 23:00:00;A;MIO_M3;ABST;FSW;BG;2014;4828.72;
ESTAT:TEN00006(1.0);28/07/23 23:00:00;A;MIO_M3;ABST;FSW;BG;2015;5070.75;
ESTAT:TEN00006(1.0);28/07/23 23:00:00;A;MIO_M3;ABST;FSW;BG;2016;5128.29;
ESTAT:TEN00006(1.0);28/07/23 23:00:00;A;MIO_M3;ABST;FSW;BG;2017;5076.24;
ESTAT:TEN00006(1.0);28/07/23 23:00:00;A;MIO_M3;ABST;FSW;BG;2018;4858.76;
ESTAT:TEN00006(1.0);28/07/23 23:00:00;A;MIO_M3;ABST;FSW;BG;2019;4859.59;
ESTAT:TEN00006(1.0);28/07/23 23:00:00;A;MIO_M3;ABST;FSW;BG;2020;4515.49;
ESTAT:TEN00006(1.0);28/07/23 23:00:00;A;MIO_M3;ABST;FSW;CH;2012;999.50;e
ESTAT:TEN00006(1.0);28/07/23 23:00:00;A;MIO_M3;ABST;FSW;CY;2010;60.90;
ESTAT:TEN00006(1.0);28/07/23 23:00:00;A;MIO_M3;ABST;FSW;CY;2011;65.80;
ESTAT:TEN00006(1.0);28/07/23 23:00:00;A;MIO_M3;ABST;FSW;CY;2012;100.30;
ESTAT:TEN00006(1.0);28/07/23 23:00:00;A;MIO_M3;ABST;FSW;CY;2013;115.30;
ESTAT:TEN00006(1.0);28/07/23 23:00:00;A;MIO_M3;ABST;FSW;CY;2014;81.80;
ESTAT:TEN00006(1.0);28/07/23 23:00:00;A;MIO_M3;ABST;FSW;CY;2015;81.90;
ESTAT:TEN00006(1.0);28/07/23 23:00:00;A;MIO_M3;ABST;FSW;CY;2016;62.80;
ESTAT:TEN00006(1.0);28/07/23 23:00:00;A;MIO_M3;ABST;FSW;CY;2017;61.30;
ESTAT:TEN00006(1.0);28/07/23 23:00:00;A;MIO_M3;ABST;FSW;CY;2018;51.60;
ESTAT:TEN00006(1.0);28/07/23 23:00:00;A;MIO_M3;ABST;FSW;CY;2019;67.40;
ESTAT:TEN00006(1.0);28/07/23 23:00:00;A;MIO_M3;ABST;FSW;CY;2020;96.40;
ESTAT:TEN00006(1.0);28/07/23 23:00:00;A;MIO_M3;ABST;FSW;CY;2021;99.60;
ESTAT:TEN00006(1.0);28/07/23 23:00:00;A;MIO_M3;ABST;FSW;CZ;2010;1573.40;
