DATAFLOW,LAST UPDATE,freq,wat_proc,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:ENV_WAT_RES(1.0),12/09/23 23:00:00,A,AQUI,M3_HAB,AL,2013,124.17,e
ESTAT:ENV_WAT_RES(1.0),12/09/23 23:00:00,A,AQUI,M3_HAB,AL,2014,128.81,e
ESTAT:ENV_WAT_RES(1.0),12/09/23 23:00:00,A,AQUI,M3_HAB,AL,2015,135.02,
ESTAT:ENV_WAT_RES(1.0),12/09/23 23:00:00,A,AQUI,M3_HAB,AL,2016,134.86,e
ESTAT:ENV_WAT_RES(1.0),12/09/23 23:00:00,A,AQUI,M3_HAB,AL,2017,111.71,e
ESTAT:ENV_WAT_RES(1.0),12/09/23 23:00:00,A,AQUI,M3_HAB,AL,2018,120.99,e
ESTAT:ENV_WAT_RES(1.0),12/09/23 23:00:00,A,AQUI,M3_HAB,AL,2019,105.63,e
ESTAT:ENV_WAT_RES(1.0),12/09/23 23:00:00,A,AQUI,M3_HAB,AL,2020,118.47,e
ESTAT:ENV_WAT_RES(1.0),12/09/23 23:00:00,A,AQUI,M3_HAB,AL,2021,115.23,e
ESTAT:ENV_WAT_RES(1.0),12/09/23 23:00:00,A,AQUI,M3_HAB,BG,2012,742.00,
ESTAT:ENV_WAT_RES(1.0),12/09/23 23:00:00,A,AQUI,M3_HAB,BG,2013,746.17,
ESTAT:ENV_WAT_RES(1.0),12/09/23 23:00:00,A,AQUI,M3_HAB,BG,2014,764.96,
ESTAT:ENV_WAT_RES(1.0),12/09/23 23:00:00,A,AQUI,M3_HAB,BG,2015,772.22,
ESTAT:ENV_WAT_RES(1.0),12/09/23 23:00:00,A,AQUI,M3_HAB,BG,2016,764.75,
ESTAT:ENV_WAT_RES(1.0),12/09/23 23:00:00,A,AQUI,M3_HAB,BG,2017,826.60,
ESTAT:ENV_WAT_RES(1.0),12/09/23 23:00:00,A,AQUI,M3_HAB,CH,2011,2298.17,
ESTAT:ENV_WAT_RES(1.0),12/09/23 23:00:00,A,AQUI,M3_HAB,CH,2012,2273.89,e
ESTAT:ENV_WAT_RES(1.0),12/09/23 23:00:00,A,AQUI,M3_HAB,CH,2013,2247.89,e
ESTAT:ENV_WAT_RES(1.0),12/09/23 23:00:00,A,AQUI,M3_HAB,CH,2014,2220.63,
ESTAT:ENV_WAT_RES(1.0),12/09/23 23:00:00,A,AQUI,M3_HAB,CH,2015,2195.50,
ESTAT:ENV_WAT_RES(1.0),12/09/23 23:00:00,A,AQUI,M3_HAB,CH,2016,2171.65,
ESTAT:ENV_WAT_RES(1.0),12/09/23 23:00:00,A,AQUI,M3_HAB,CH,2017,2151.48,
ESTAT:ENV_WAT_RES(1.0),12/09/23 23:00:00,A,AQUI,M3_HAB,CH,2018,2135.69,
ESTAT:ENV_WAT_RES(1.0),12/09/23 23:00:00,A,AQUI,M3_HAB,CH,2019,2120.51,
ESTAT:ENV_WAT_RES(1.0),12/09/23 23:00:00,A,AQUI,M3_HAB,CH,2020,2105.08,
ESTAT:ENV_WAT_RES(1.0),12/09/23 23:00:00,A,AQUI,M3_HAB,CH,2021,2089.02,
ESTAT:ENV_WAT_RES(1.0),12/09/23 23:00:00,A,AQUI,M3_HAB,CY,2000,334.28,e
ESTAT:ENV_WAT_RES(1.0),12/09/23 23:00:00,A,AQUI,M3_HAB,CY,2001,312.60,e
ESTAT:ENV_WAT_RES(1.0),12/09/23 23:00:00,A,AQUI,M3_HAB,CY,2002,224.20,e
ESTAT:ENV_WAT_RES(1.0),12/09/23 23:00:00,A,AQUI,M3_HAB,CY,2003,262.28,e
ESTAT:ENV_WAT_RES(1.0),12/09/23 23:00:00,A,AQUI,M3_HAB,CY,2004,237.23,e
ESTAT:ENV_WAT_RES(1.0),12/09/23 23:00:00,A,AQUI,M3_HAB,CY,2005,248.19,e
ESTAT:ENV_WAT_RES(1.0),12/09/23 23:00:00,A,AQUI,M3_HAB,CY,2006,273.78,e
ESTAT:ENV_WAT_RES(1.0),12/09/23 23:00:00,A,AQUI,M3_HAB,CY,2007,309.86,e
ESTAT:ENV_WAT_RES(1.0),12/09/23 23:00:00,A,AQUI,M3_HAB,CY,2008,188.14,e
ESTAT:ENV_WAT_RES(1.0),12/09/23 23:00:00,A,AQUI,M3_HAB,CY,2009,314.34,e
ESTAT:ENV_WAT_RES(1.0),12/09/23 23:00:00,A,AQUI,M3_HAB,CY,2010,166.74,e
ESTAT:ENV_WAT_RES(1.0),12/09/23 23:00:00,A,AQUI,M3_HAB,CY,2011,315.91,e
ESTAT:ENV_WAT_RES(1.0),12/09/23 23:00:00,A,AQUI,M3_HAB,CY,2012,271.66,e
ESTAT:ENV_WAT_RES(1.0),12/09/23 23:00:00,A,AQUI,M3_HAB,CY,2013,156.86,e
ESTAT:ENV_WAT_RES(1.0),12/09/23 23:00:00,A,AQUI,M3_HAB,CY,2014,261.58,e
ESTAT:ENV_WAT_RES(1.0),12/09/23 23:00:00,A,AQUI,M3_HAB,CY,2015,205.27,e
ESTAT:ENV_WAT_RES(1.0),12/09/23 23:00:00,A,AQUI,M3_HAB,CY,2016,275.96,e
ESTAT:ENV_WAT_RES(1.0),12/09/23 23:00:00,A,AQUI,M3_HAB,CY,2017,175.68,e
ESTAT:ENV_WAT_RES(1.0),12/09/23 23:00:00,A,AQUI,M3_HAB,CY,2018,340.20,e
ESTAT:ENV_WAT_RES(1.0),12/09/23 23:00:00,A,AQUI,M3_HAB,CY,2019,219.97,e
ESTAT:ENV_WAT_RES(1.0),12/09/23 23:00:00,A,AQUI,M3_HAB,CY,2020,198.43,e
ESTAT:ENV_WAT_RES(1.0),12/09/23 23:00:00,A,AQUI,M3_HAB,CY,2021,245.46,e
ESTAT:ENV_WAT_RES(1.0),12/09/23 23:00:00,A,AQUI,M3_HAB,CZ,2000,661.23,s
ESTAT:ENV_WAT_RES(1.0),12/09/23 23:00:00,A,AQUI,M3_HAB,CZ,2001,775.70,s
ESTAT:ENV_WAT_RES(1.0),12/09/23 23:00:00,A,AQUI,M3_HAB,CZ,2002,866.34,s
ESTAT:ENV_WAT_RES(1.0),12/09/23 23:00:00,A,AQUI,M3_HAB,CZ,2003,494.60,s
ESTAT:ENV_WAT_RES(1.0),12/09/23 23:00:00,A,AQUI,M3_HAB,CZ,2004,651.66,s
ESTAT:ENV_WAT_RES(1.0),12/09/23 23:00:00,A,AQUI,M3_HAB,CZ,2005,700.50,s
ESTAT:ENV_WAT_RES(1.0),12/09/23 23:00:00,A,AQUI,M3_HAB,CZ,2006,675.66,s
ESTAT:ENV_WAT_RES(1.0),12/09/23 23:00:00,A,AQUI,M3_HAB,CZ,2007,716.39,s
ESTAT:ENV_WAT_RES(1.0),12/09/23 23:00:00,A,AQUI,M3_HAB,CZ,2008,473.19,
ESTAT:ENV_WAT_RES(1.0),12/09/23 23:00:00,A,AQUI,M3_HAB,CZ,2009,1070.25,
ESTAT:ENV_WAT_RES(1.0),12/09/23 23:00:00,A,AQUI,M3_HAB,CZ,2010,891.60,
ESTAT:ENV_WAT_RES(1.0),12/09/23 23:00:00,A,AQUI,M3_HAB,CZ,2011,523.72,
ESTAT:ENV_WAT_RES(1.0),12/09/23 23:00:00,A,AQUI,M3_HAB,CZ,2012,501.77,
ESTAT:ENV_WAT_RES(1.0),12/09/23 23:00:00,A,AQUI,M3_HAB,CZ,2013,775.61,
ESTAT:ENV_WAT_RES(1.0),12/09/23 23:00:00,A,AQUI,M3_HAB,CZ,2014,418.51,
ESTAT:ENV_WAT_RES(1.0),12/09/23 23:00:00,A,AQUI,M3_HAB,CZ,2015,355.77,
ESTAT:ENV_WAT_RES(1.0),12/09/23 23:00:00,A,AQUI,M3_HAB,CZ,2016,416.80,
ESTAT:ENV_WAT_RES(1.0),12/09/23 23:00:00,A,AQUI,M3_HAB,CZ,2017,417.29,
ESTAT:ENV_WAT_RES(1.0),12/09/23 23:00:00,A,AQUI,M3_HAB,CZ,2018,283.92,
ESTAT:ENV_WAT_RES(1.0),12/09/23 23:00:00,A,AQUI,M3_HAB,CZ,2019,392.06,
ESTAT:ENV_WAT_RES(1.0),12/09/23 23:00:00,A,AQUI,M3_HAB,CZ,2020,551.98,
ESTAT:ENV_WAT_RES(1.0),12/09/23 23:00:00,A,AQUI,M3_HAB,CZ,2021,509.24,
ESTAT:ENV_WAT_RES(1.0),12/09/23 23:00:00,A,AQUI,M3_HAB,DE,2000,637.38,
ESTAT:ENV_WAT_RES(1.0),12/09/23 23:00:00,A,AQUI,M3_HAB,DE,2001,677.60,
ESTAT:ENV_WAT_RES(1.0),12/09/23 23:00:00,A,AQUI,M3_HAB,DE,2002,846.18,
ESTAT:ENV_WAT_RES(1.0),12/09/23 23:00:00,A,AQUI,M3_HAB,DE,2003,438.61,
ESTAT:ENV_WAT_RES(1.0),12/09/23 23:00:00,A,AQUI,M3_HAB,DE,2004,521.11,
ESTAT:ENV_WAT_RES(1.0),12/09/23 23:00:00,A,AQUI,M3_HAB,DE,2005,495.94,
ESTAT:ENV_WAT_RES(1.0),12/09/23 23:00:00,A,AQUI,M3_HAB,DE,2006,478.29,
ESTAT:ENV_WAT_RES(1.0),12/09/23 23:00:00,A,AQUI,M3_HAB,DE,2007,646.68,
ESTAT:ENV_WAT_RES(1.0),12/09/23 23:00:00,A,AQUI,M3_HAB,DE,2008,552.92,
ESTAT:ENV_WAT_RES(1.0),12/09/23 23:00:00,A,AQUI,M3_HAB,DE,2009,516.47,
ESTAT:ENV_WAT_RES(1.0),12/09/23 23:00:00,A,AQUI,M3_HAB,DE,2010,692.13,
ESTAT:ENV_WAT_RES(1.0),12/09/23 23:00:00,A,AQUI,M3_HAB,DE,2011,550.61,
ESTAT:ENV_WAT_RES(1.0),12/09/23 23:00:00,A,AQUI,M3_HAB,DE,2012,533.41,
ESTAT:ENV_WAT_RES(1.0),12/09/23 23:00:00,A,AQUI,M3_HAB,DE,2013,654.72,
ESTAT:ENV_WAT_RES(1.0),12/09/23 23:00:00,A,AQUI,M3_HAB,DE,2014,419.84,
ESTAT:ENV_WAT_RES(1.0),12/09/23 23:00:00,A,AQUI,M3_HAB,DE,2015,479.88,
